name,score,s_time
sc,1.0,2023-05-24 16:07:00
sc2,1.0,2023-06-05 17:25:56
33455,0.89,2023-05-24 16:09:56
zjh,0.89,2023-06-02 00:09:46
result,0.603,2023-06-14 00:52:11
res,0.6,2023-06-13 17:49:35
result20230601,0.6,2023-06-13 18:39:08
11111,0.56,2023-06-13 01:55:22
